tema,plataforma,total
Acervo e patrimônio,Memoryscapes,2845
História e pesquisa,Memoryscapes,458
Exposições e eventos,Memoryscapes,325
Música e performance,Memoryscapes,257
Visita e descoberta do arquivo,Memoryscapes,164
Divulgação de serviços e projetos,Memoryscapes,118
Digitalização e acesso,Memoryscapes,97
Formação e mediação,Memoryscapes,86
Apresentação institucional,Memoryscapes,79
Preservação e conservação,Memoryscapes,58
"Memória, narrativa e testemunho",Memoryscapes,48
Coleções e serviços,Memoryscapes,37
Comunicação institucional,Memoryscapes,21
