tema,tipo_institucional,total
Acervo e patrimônio,Home movie and private film archive with public digital platform,2845
História e pesquisa,Home movie and private film archive with public digital platform,458
Exposições e eventos,Home movie and private film archive with public digital platform,325
Música e performance,Home movie and private film archive with public digital platform,257
Visita e descoberta do arquivo,Home movie and private film archive with public digital platform,164
Divulgação de serviços e projetos,Home movie and private film archive with public digital platform,118
Digitalização e acesso,Home movie and private film archive with public digital platform,97
Formação e mediação,Home movie and private film archive with public digital platform,86
Apresentação institucional,Home movie and private film archive with public digital platform,79
Preservação e conservação,Home movie and private film archive with public digital platform,58
"Memória, narrativa e testemunho",Home movie and private film archive with public digital platform,48
Coleções e serviços,Home movie and private film archive with public digital platform,37
Comunicação institucional,Home movie and private film archive with public digital platform,21
