institution,slug,country,continent,repository_code,archive_type,iam_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,Institut audiovisuel de Monaco,https://institut-audiovisuel.mc/medias/le-plateau-des-spelugues/,Le plateau des Spélugues,palais de monaco,"Registro público do tipo WordPress `medias` do Institut audiovisuel de Monaco. | fundo: fonds archives du palais | categoria: palais de monaco | palavras-chave: campagne, mer, paysage, port | lugares: la condamine quartier, monaco, monte carlo quartier, port dhercule | período: annees 1860 | tipo: photo professionnelle | técnica: noir et blanc | Le plateau des Spélugues - INSTITUT AUDIOVISUEL DE MONACO L’INSTITUT PROGRAMMES COLLECTIONS CONSULTATION Agenda BOUTIQUE / VOD PROFESSIONNELS Le plateau des Spélugues Photo professionnelle Fonds Archives du Palais Années 1860 En bas de l’image à gauche, on distingue le quartier de la Condamine face au port d’Hercule avant la construction de ses quais et digues. Au centre, on peut voir le plateau des Spélugues qui deviendra le quartier de Monte-Carlo. On y distingue notamment l’Hôtel d’Angleterre, l’Hôtel de Paris et le casino de Monte-Carlo. En arrière-plan, on distingue le Larvotto. Fichier numérique de la photographie d’origine conservée par...",2023
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,Institut audiovisuel de Monaco,https://institut-audiovisuel.mc/medias/vue-sur-le-rocher-et-lanse-de-fontvieille/,Vue sur le rocher et l’anse de Fontvieille,palais de monaco,"Registro público do tipo WordPress `medias` do Institut audiovisuel de Monaco. | fundo: fonds archives du palais | categoria: palais de monaco | palavras-chave: campagne, mer, paysage | lugares: fontvieille quartier, monaco | período: annees 1860 | tipo: photo professionnelle | técnica: noir et blanc | Vue sur le rocher et l'anse de Fontvieille - INSTITUT AUDIOVISUEL DE MONACO L’INSTITUT PROGRAMMES COLLECTIONS CONSULTATION Agenda BOUTIQUE / VOD PROFESSIONNELS Vue sur le rocher et l’anse de Fontvieille Photo professionnelle Fonds Archives du Palais Années 1860 Vue sur le Rocher et l’anse de Fontvieille. Le bord de mer est bordé par des arbres. Sur le Rocher, on distingue le Palais de Monaco et quelques maisons. Fichier numérique de la photographie d’origine conservée par Les Archives du Palais. Année : 1867 Lieux : Fontvieille (quartier), Monaco Spécificités techniques : Noir et blanc Mots Clés : Campagne, Mer, Paysage Cote Archive : APM-Pn-731 Vue sur le Rocher et l’anse de Fontvieill...",2023
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,Institut audiovisuel de Monaco,https://institut-audiovisuel-media-files.s3.eu-west-3.amazonaws.com/20230912092524/MonacoInfo_01_TeaserINA-2.mp4,Bande-annonce des archives de Monaco Info,monaco info,"Registro público do tipo WordPress `medias` do Institut audiovisuel de Monaco. | fundo: fonds monaco info | categoria: monaco info | lugares: monaco | autores: direction de la communication du gouvernement princier, institut audiovisuel de monaco | período: annees 1990s, annees 2000s, annees 2010, annees 2020 | suporte: xd_cam_hd422 | tipo: film professionnel | técnica: couleur, sonore | fonte de vídeo: video/mp4 | Bande-annonce des archives de Monaco Info - INSTITUT AUDIOVISUEL DE MONACO L’INSTITUT PROGRAMMES COLLECTIONS CONSULTATION Agenda BOUTIQUE / VOD PROFESSIONNELS Bande-annonce des archives de Monaco Info Film professionnel Fonds Monaco Info Années 1990, Années 2000, Années 2010, Années 2020 L’Institut audiovisuel de Monaco a réalisé ce court film de montage à des fins de communication de la collection Monaco Info nouvellement mise en ligne sur le site InaMedia.pro de l’Institut national audiovisuel. Les archives télévisuelles utilisées ont toutes été produites par la Direction...",2010
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,Institut audiovisuel de Monaco,https://institut-audiovisuel-media-files.s3.eu-west-3.amazonaws.com/20251008093707/Chantiers_09_Bilan_2019-1.mp4,Fin d’année pour le chantier de l’urbanisation en mer,"les grands chantiers, monaco info","Registro público do tipo WordPress `medias` do Institut audiovisuel de Monaco. | fundo: fonds monaco info | categoria: les grands chantiers, monaco info | palavras-chave: chantier, construction, extension, mer | lugares: larvotto quartier, monaco | autores: direction de la communication du gouvernement princier | período: annees 2010 | suporte: xd_cam_hd422 | tipo: film professionnel | técnica: couleur, sonore | fonte de vídeo: video/mp4 | Fin d'année pour le chantier de l'urbanisation en mer - INSTITUT AUDIOVISUEL DE MONACO L’INSTITUT PROGRAMMES COLLECTIONS CONSULTATION Agenda BOUTIQUE / VOD PROFESSIONNELS Fin d’année pour le chantier de l’urbanisation en mer Film professionnel Fonds Monaco Info Années 2010 Cette fin d’année 2019 voit l’achèvement d’une étape importante du projet d’urbanisation en mer de la Principauté avec la fin de la phase de remblai qui fait émerger le socle du futur Eco-quartier. Time-lapse de l’avancée du chantier – Vues générales du chantier – Détails de l’opé...",2010
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,Institut audiovisuel de Monaco,https://institut-audiovisuel-media-files.s3.eu-west-3.amazonaws.com/20230912092740/MonacoInfo_05_Meeting_Herculis_2011-1.mp4,Meeting Herculis 2011,monaco info,"Registro público do tipo WordPress `medias` do Institut audiovisuel de Monaco. | fundo: fonds monaco info | categoria: monaco info | palavras-chave: competition, course, interview, sport | lugares: fontvieille quartier, monaco, stade louis ii nouveau | autores: direction de la communication du gouvernement princier | período: annees 2010 | suporte: dvcam | tipo: film professionnel | técnica: couleur, sonore | fonte de vídeo: video/mp4 | Meeting Herculis 2011 - INSTITUT AUDIOVISUEL DE MONACO L’INSTITUT PROGRAMMES COLLECTIONS CONSULTATION Agenda BOUTIQUE / VOD PROFESSIONNELS Meeting Herculis 2011 Film professionnel Fonds Monaco Info Années 2010 Le 22 Juillet 2011, dans un stade plein de 18 000 spectateurs et une ambiance extraordinaire, le meeting Herculis a vécu une de ses plus belles soirées avec au niveau des performances 2 records continentaux, 7 records nationaux, ainsi que 4 records du meeting et 6 meilleures performances mondiales 2011. Les journalistes de Monaco Info ont pu inte...",2010
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,Institut audiovisuel de Monaco,https://institut-audiovisuel-media-files.s3.eu-west-3.amazonaws.com/20260413093238/INST14-Eaunergie.mp4,Une entreprise innovante,instantanes saison,"Registro público do tipo WordPress `medias` do Institut audiovisuel de Monaco. | fundo: fonds monaco info | categoria: instantanes saison | palavras-chave: chantier, construction, interview, port | lugares: monaco, port dhercule | autores: direction de la communication du gouvernement princier | período: annees 2010 | suporte: dvcam | tipo: film professionnel | técnica: couleur, sonore | fonte de vídeo: video/mp4 | Une entreprise innovante - INSTITUT AUDIOVISUEL DE MONACO L’INSTITUT PROGRAMMES COLLECTIONS CONSULTATION Agenda BOUTIQUE / VOD PROFESSIONNELS Une entreprise innovante Film professionnel Fonds Monaco Info Années 2010 La rédaction de Monaco Info s’est intéressée à la société monégasque EauNergie qui propose des solutions adaptées à toutes les purifications d’eau, en favorisant un traitement par les énergies renouvelables. Durant les travaux du nouveau Yacht Club de Monaco, la société a pu alimenter le chantier en eau propre en puisant celle de la mer, grâce à une station labo...",2010
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,Institut audiovisuel de Monaco,https://institut-audiovisuel.mc/medias/alexis-gruss-et-son-cheval/,Alexis Gruss et son cheval,le cirque vu par deux photographes,"Registro público do tipo WordPress `medias` do Institut audiovisuel de Monaco. | fundo: fonds mitti | categoria: le cirque vu par deux photographes | palavras-chave: animaux, cirque, spectacle | lugares: chapiteau de lespace fontvieille, fontvieille quartier | autores: vinaj jean charles | período: annees 2000s | suporte: negatif 24 x 36 | tipo: photo professionnelle | técnica: couleur | Alexis Gruss et son cheval - INSTITUT AUDIOVISUEL DE MONACO L’INSTITUT PROGRAMMES COLLECTIONS CONSULTATION Agenda BOUTIQUE / VOD PROFESSIONNELS Alexis Gruss et son cheval Photo professionnelle Fonds MITTI Années 2000 En 2001 lors du 25e Festival, l’écuyer Alexis Gruss montre un numéro d’une grande complicité avec son équidé qui prend ici le rôle du cheval comédien. Alexis Gruss s’inscrit dans la grande histoire du cirque par sa pratique qui fut novatrice et fondatrice pour la génération suivante. >> Poursuivre le parcours « Le cirque vu par deux photographes » en cliquant ici . Année : 2001 Auteurs :...",2000
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,Institut audiovisuel de Monaco,https://institut-audiovisuel.mc/medias/anthony-gatto-au-jonglage/,Anthony Gatto au jonglage,le cirque vu par deux photographes,"Registro público do tipo WordPress `medias` do Institut audiovisuel de Monaco. | fundo: fonds mitti | categoria: le cirque vu par deux photographes | palavras-chave: cirque, spectacle | lugares: chapiteau de lespace fontvieille, fontvieille quartier | autores: vinaj jean charles | período: annees 2000s | suporte: negatif 24 x 36 | tipo: photo professionnelle | técnica: couleur | Anthony Gatto au jonglage - INSTITUT AUDIOVISUEL DE MONACO L’INSTITUT PROGRAMMES COLLECTIONS CONSULTATION Agenda BOUTIQUE / VOD PROFESSIONNELS Anthony Gatto au jonglage Photo professionnelle Fonds MITTI Années 2000 Le jongleur Anthony Gatto participe au 24e Festival International du Cirque en 2000. Son numéro s’apparente au jonglage aérien qui est devenu depuis les années 1970 la représentation stéréotypique de cette discipline. Les performances spectaculaires d’Anthony Gatto s’inscrivent dans une pratique qui se fait de plus en plus technique dans les années 1990-2000. Il a d’ailleurs figuré dans les années 2...",2000
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,Institut audiovisuel de Monaco,https://institut-audiovisuel-media-files.s3.eu-west-3.amazonaws.com/20241111131437/03_Atelier-cinema-au-centre-Princesse-Stephanie.mp4,Atelier cinéma au Centre Princesse Stéphanie,monaco info,"Registro público do tipo WordPress `medias` do Institut audiovisuel de Monaco. | fundo: fonds monaco info | categoria: monaco info | palavras-chave: acteur, actrice, camera, cineaste, groupe, interview, loisirs, tournage | lugares: fontvieille quartier, monaco | período: annees 2000s | suporte: dvcam | tipo: film professionnel | técnica: couleur, sonore | fonte de vídeo: video/mp4 | Atelier cinéma au Centre Princesse Stéphanie - INSTITUT AUDIOVISUEL DE MONACO L’INSTITUT PROGRAMMES COLLECTIONS CONSULTATION Agenda BOUTIQUE / VOD PROFESSIONNELS Atelier cinéma au Centre Princesse Stéphanie Film professionnel Fonds Monaco Info Années 2000 Dans le cadre de son programme « Pass’sport culture », la Direction de l’éducation nationale parraine des activités sportives et culturelles pour les élèves de la Principauté, pendant leurs vacances scolaires. Le Centre de la jeunesse Princesse Stéphanie, organise à l’été 2008, sur les terrasses de Fontvieille, un atelier d’initiation à la réalisation de...",2000
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,Institut audiovisuel de Monaco,https://institut-audiovisuel-media-files.s3.eu-west-3.amazonaws.com/20251210162207/INST06-Bernice.mp4,Bernice (extrait),instantanes saison,"Registro público do tipo WordPress `medias` do Institut audiovisuel de Monaco. | fundo: fonds les ballets de monte carlo | categoria: instantanes saison | palavras-chave: danse, interview, spectacle | lugares: ateliers des ballets de monte carlo, monaco | autores: leccia ange | período: annees 2000s | suporte: dvcam | tipo: film professionnel | técnica: couleur, sonore | fonte de vídeo: video/mp4 | Bernice (extrait) - INSTITUT AUDIOVISUEL DE MONACO L’INSTITUT PROGRAMMES COLLECTIONS CONSULTATION Agenda BOUTIQUE / VOD PROFESSIONNELS Bernice (extrait) Film professionnel Fonds Les Ballets de Monte-Carlo Années 2000 Dans un documentaire réalisé en 2006 et diffusé sur les chaînes Télé Monte-Carlo et Mezzo, Ange Leccia tire le portrait de Bernice Coppieters, danseuse étoile des Ballets de Monte-Carlo, racontée par ceux dont elle est la muse, le modèle ou la partenaire. Des extraits des compositions les plus marquantes de sa carrière alternent avec des moments de vie personnelle. Dans l’extra...",2000
