institution,slug,country,continent,repository_code,archive_type,ina_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,Madelen,https://madelen.ina.fr/content/a-bout-portant-raymond-devos-1969-123702,A bout portant : Raymond Devos (1969) | madelen,A bout portant : Raymond Devos (1969) | madelen,"Rembob'Ina rend hommage à l'humoriste, jongleur de mots, de musiques et d'instruments, Raymond Devos, en compagnie de son plus fervent admirateur, le comédien François Morel. À travers la diffusion d'un “À bout portant” qui a suivi Raymond Devos pendant sa tournée de 1969, on découvre quelques facettes de l'homme qui se cachait derrière l'artiste.",,A bout portant : Raymond Devos (1969) | madelen,,Visita e descoberta do arquivo,Streaming curatorial
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,Madelen,https://madelen.ina.fr/collection/alain-decaux-raconte-100,Alain Decaux raconte,Alain Decaux raconte,"« Aujourd’hui, je vais raconter… ». Seul face à la caméra, Alain Decaux revient sur un personnage, un évènement de l’Histoire. L’étrange mort de Mussolini, les possédées de Loudun, Jack l’Eventreur… Il raconte même avoir rencontré le prince qui a tué Raspoutine !",,Alain Decaux raconte,,Exposições e eventos,Streaming curatorial
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,Madelen,https://madelen.ina.fr/serie/amicalement-votre-4391,Amicalement vôtre,Amicalement vôtre,"Un générique mythique pour un duo explosif : le juge Fulton réunit Danny Wilde (Tony Curtis), un milliardaire américain venu des bas-fonds new-yorkais, et Lord Brett Sinclair (Roger Moore), un aristocrate britannique à l'élégance imperturbable, qui n'ont a priori rien en commun… sinon un goût prononcé pour l'aventure. Du charme, de l'insolence et des malfrats en alerte !&nbsp;",,Amicalement vôtre,,Coleções e serviços,Streaming curatorial
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,Madelen,https://madelen.ina.fr/collection/apostrophes-154,Apostrophes,Apostrophes,"En janvier 1980, Bernard Pivot déclare à Télérama qu'Apostrophes&nbsp;est ""un magazine d’idées qui puise sa substance dans les livres et qui peut être prolongé par la lecture"". Durant quinze ans, il reçoit en direct des écrivains, artistes, historiens, linguistes… autour d’une table où se côtoient livres, cendriers et verres pas toujours remplis d’eau…",,Apostrophes,,Visita e descoberta do arquivo,Streaming curatorial
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,Madelen,https://madelen.ina.fr/collection/au-theatre-ce-soir-64,Au théâtre ce soir,Au théâtre ce soir,"Une sonnerie retentit, les spectateurs s'installent, les trois coups résonnent, le rideau s'ouvre... Au théâtre ce soir accompagna les français de 1966 à 1986. La collection permet de découvrir ou redécouvrir de fameuses pièces de boulevard, des comédies policières et quelques classiques, interprétés par une ribambelle d'acteurs populaires. Que le spectacle commence !",,Au théâtre ce soir,,Coleções e serviços,Streaming curatorial
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,Madelen,https://madelen.ina.fr/serie/belphegor-ou-le-fantome-du-louvre-2590,Belphégor ou le fantôme du Louvre,Belphégor ou le fantôme du Louvre,"Un fantôme hante le Louvre ! Manifestation surnaturelle ou machination bien humaine ? Le jeune André Bellegarde, fasciné par l'étrange, se lance à corps perdu dans l'enquête. De révélations en rebondissements, il va également être tiraillé entre deux femmes, Colette, la fille du commissaire, et la mystérieuse Laurence...&nbsp;",,Belphégor ou le fantôme du Louvre,,Comunicação institucional,Streaming curatorial
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,Madelen,https://madelen.ina.fr/serie/chapeau-melon-et-bottes-de-cuir-the-new-avengers-3874,Chapeau melon et bottes de cuir : The New Avengers,Chapeau melon et bottes de cuir : The New Avengers,"John Steed arbore toujours son parapluie et son fameux chapeau melon, mais il a désormais deux nouveaux coéquipiers : Purdey, une ancienne danseuse intrépide et Gambit, un agent efficace et séducteur. Le trio se lance dans des enquêtes rocambolesques où scènes d'action et courses-poursuites sont agrémentées d'humour et du traditionnel flegme anglais.",,Chapeau melon et bottes de cuir : The New Avengers,,Formação e mediação,Streaming curatorial
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,Madelen,https://madelen.ina.fr/serie/chez-maupassant-4073,Chez Maupassant,Chez Maupassant,"Réaliste, imagée et sans concession, l’écriture de Maupassant est faite pour la télévision. Cette série ambitieuse le prouve et réunit de grands noms tels Jean Rochefort, Cécile de France, Eddy Mitchell et Claude Chabrol. Des performances, mises en scène et musiques qui furent saluées par la critique et qui font honneur à l'indémodable écrivain.",,Chez Maupassant,,Música e performance,Streaming curatorial
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,Madelen,https://madelen.ina.fr/serie/chateauvallon-3588,Châteauvallon,Châteauvallon,"Châteauvallon, ton univers impitoyable ! C'est la série triomphante du petit écran (14 millions de téléspectateurs !) qui voit s'affronter deux clans : les Kovalic, ferrailleurs d'origine slave, qui aspirent à damer le pion des fortunés Berg pour la gloire et le pouvoir. Bienvenue dans un monde où passions et rivalités sont exacerbées et où fusent les coups bas.",,Châteauvallon,,Comunicação institucional,Streaming curatorial
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,Madelen,https://madelen.ina.fr/collection/cinepanorama-65,Cinépanorama,Cinépanorama,"Pendant dix ans, le grand reporter (et ancien correspondant de guerre) François Chalais offre un regard décalé et des interviews surprenantes des grands mythes du cinéma, souvent en compagnie de France Roche. Composée de reportages et d’entretiens, cette émission&nbsp;révèle les acteurs et cinéastes en toute confidence. Le ton de Chalais et sa verve le rendent parfois irrévérencieux.&nbsp;",,Cinépanorama,,Apresentação institucional,Streaming curatorial
