institution,slug,country,continent,repository_code,archive_type,ina_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://www.ina.fr/institut-national-audiovisuel,ok,200,0,0,Pagina complementar semeada explicitamente para o corpus.,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://www.ina.fr/institut-national-audiovisuel/collection-preservation-and-documentation-of-audiovisual-heritage,ok,200,0,0,Pagina complementar semeada explicitamente para o corpus.,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://www.ina.fr/actualites-ina/data-donnees-visualisation-intelligence-artificielle-dataina,ok,200,0,7,Pagina complementar semeada explicitamente para o corpus.,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://www.ina.fr/actualites-ina,ok,200,0,0,Pagina complementar semeada explicitamente para o corpus.,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://www.ina.fr/ina-eclaire-actu,ok,200,0,0,Pagina complementar semeada explicitamente para o corpus.,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://madelen.ina.fr/discover,ok,200,40,40,Pagina complementar semeada explicitamente para o corpus.,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://mediaclip.ina.fr/fr,ok,200,31,31,Pagina complementar semeada explicitamente para o corpus.,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://www.ina.fr/institut-national-audiovisuel/collections-audiovisuelles/70-ans-de-television,ok,200,0,8,,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://www.ina.fr/institut-national-audiovisuel/collections-audiovisuelles/archives-emblematiques,ok,200,0,0,,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://www.ina.fr/institut-national-audiovisuel/collections-audiovisuelles/presse-filmee-et-cinema,ok,200,0,8,,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://www.ina.fr/institut-national-audiovisuel/collections-audiovisuelles/le-fonds-photo,ok,200,0,9,,
Institut national de l'audiovisuel (INA),institut-national-de-l-audiovisuel-ina,France,Europe,FR-INA,National audiovisual archive,https://www.ina.fr/institut-national-audiovisuel,True,True,https://www.ina.fr/,https://www.ina.fr/institut-national-audiovisuel/collections-audiovisuelles,ok,200,0,0,,
