institution,slug,country,continent,repository_code,archive_type,luce_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,Archivio Luce,https://videocinecitta.bytewise.it/vod/archivioluce/MpegM300/M005103.mp4/playlist.m3u8,Marinai d'Italia e camicie nere sul Danubio,temi Commemorazioni della Grande Guerra Milizia Volontaria per la sicurezza nazionale Regia Marina italiana camicie nere luoghi Mauthausen fiume Danubio cimitero militare di Mauthausen | italiana Produzione | Istituto Nazionale Luce,"Ficha pública do catálogo cinematográfico Archivio Luce. | código: M005103 Marinai italiani e reparti della Milizia volontaria per la sicurezza nazionale rendono omaggio ai soldati italiani sepolti nel cimitero militare di Mauthausen. In una didascalia è riportato un brano del discorso di Mussolini letto nel corso della cerimonia commemorativa: ""Attraverso i monti fasciati di ghiacci, attraverso le terre più lontane, messaggio di fede infinita, d'amore purissimo, di saluto commosso"". Gran parte del cortometraggio è dedicata al viaggio di ritorno sul Danubio. | duração: 00:08:40 | cor: b/n | som: muto | língua: italiana | nacionalidade: italiana Produzione | produção: Istituto Nazionale Luce | mídia pública detectada: 2 arquivo(s) | Marinai italiani e reparti della Milizia volontaria per la sicurezza nazionale rendono omaggio ai soldati italiani sepolti nel cimitero militare di Mauthausen. In una didascalia è riportato un brano del discorso di Mussolini letto nel corso della cerimonia commemorativa: | Folla adunata in una piazza di Mauthausen il cimitero di Mauthausen: lapidi marmore in mezzo all'erba l'ingresso del cimitero di Mauthausen in cui sono sepolti i soldati italiani marinai italiani e reparti della Milizia entrano nel cimitero, alcuni di loro portano corone i marinai e i militi raccolti in preghiera dinanzi a una cappella del cimitero uomini in abiti civili e ufficiali si dispongono attorno al monumento eretto in memoria dei soldati italiani caduti in terra straniera sono presenti anche alcuni bambini carrellata sui presenti riuniti attorno al monumento un uomo l...",1926,Marinai d'Italia e camicie nere sul Danubio,1926-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,Archivio Luce,https://videocinecitta.bytewise.it/vod/archivioluce/MpegM300/M004408.mp4/playlist.m3u8,Tenuta di Pietralata posa della prima pietra dell'edificio scolastico (Roma) dell'Opera Nazionale Combattenti. Tenuta di Pietralata in Roma. Posa della,temi infrastrutture Opere pubbliche del fascismo Istruzione vita metropolitana Opera nazionale balilla luoghi Roma | italiana Produzione | Istituto Nazionale Luce,"Ficha pública do catálogo cinematográfico Archivio Luce. | código: M004408 Il cortometraggio documenta il giorno della posa della prima pietra per la costruzione di un edificio scolastico nella zona di Pietralata a Roma, presumibilmente alla fine degli anni Venti. | duração: 00:08:53 | cor: b/n | som: muto | língua: italiana | nacionalidade: italiana Produzione | produção: Istituto Nazionale Luce | mídia pública detectada: 2 arquivo(s) | Il cortometraggio documenta il giorno della posa della prima pietra per la costruzione di un edificio scolastico nella zona di Pietralata a Roma, presumibilmente alla fine degli anni Venti. | molta gente è accalcata davanti alla villa della tenuta di Pietralata panoramica sul cortile arrivo delle autorità le autorità sostano colloquiando davanti alla prima pietra appesa ad un argano il sacerdote tiene un discorso le persone applaudono panoramica sulla gente intervenuta alla cerimonia discorsi delle autorità i presenti applaudono il gruppo delle autorità esegue il saluto fascista acceso intervento di un uomo e applausi dei presenti le autorità appongono la firma sul foglio che verrà contenuto nella prima pietra le immagini scorrono sulle operazioni di posa della prima pietra un gruppo di avanguardisti con i labari il gruppo delle autorità si avvia seguito dagli altri intervenuti alla cerimonia, tra cui un gruppo di avanguardisti, la banda, i contadini e le famiglie della zona",1926,Tenuta di Pietralata posa della prima pietra dell'edificio scolastico (Roma) dell'Opera Nazionale Combattenti. Tenuta di Pietralata in Roma. Posa della,1926-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,Archivio Luce,https://patrimonio.archivioluce.com/luce-web/detail/IL3000085235/1/-1630.html?startPage=20,"Arrivo a Roma del comandante De Pinedo, dopo la trasvolata Italia-Australia e ritorno, compiuta sul",italiana Produzione | Istituto Nazionale Luce,Ficha pública do catálogo cinematográfico Archivio Luce. | cor: b/n | som: muto Il duce e le autorità in attesa dell'arrivo. La discesa dell'idrovolante sul Tevere. L'elogio del duce al grande aviatore. edizione | nacionalidade: italiana Produzione | produção: Istituto Nazionale Luce | registro descritivo sem arquivo HLS/MP4 exposto na ficha | Il duce e le autorità in attesa dell'arrivo. La discesa dell'idrovolante sul Tevere. L'elogio del duce al grande aviatore.,1925,"Arrivo a Roma del comandante De Pinedo, dopo la trasvolata Italia-Australia e ritorno, compiuta sul",1925-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,Archivio Luce,https://patrimonio.archivioluce.com/luce-web/detail/IL3000085236/1/-1628.html?startPage=20,Avvenimenti militari,italiana Produzione | Istituto Nazionale Luce,Ficha pública do catálogo cinematográfico Archivio Luce. | cor: b/n | som: muto edizione | nacionalidade: italiana Produzione | produção: Istituto Nazionale Luce | registro descritivo sem arquivo HLS/MP4 exposto na ficha,1925,Avvenimenti militari,1925-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,Archivio Luce,https://videocinecitta.bytewise.it/vod/archivioluce/MpegM300/M003020.mp4/playlist.m3u8,Bruges la morta,temi turismo Municipio di Bruges luoghi Bruges Chapelle du Saint Sang a Bruges Le Beffroi a Bruges Les Halles di Bruges Porte Sainte Croix a Bruges Beghinaggio a Bruges Lac d'amour a Bruges Hotel Gruuthuuse a Bruges | Istituto Nazionale Luce,"Ficha pública do catálogo cinematográfico Archivio Luce. | código: M003020 Scorci di Bruges. | duração: 00:06:14 | cor: b/n | som: muto | língua: italiana Produzione | produção: Istituto Nazionale Luce | mídia pública detectada: 2 arquivo(s) | Scorci di Bruges. | la facciata dell'hotel de ville l'ingresso della Chapelle du sain sang il Beffroi, la piazza antistante la facciata di un antico palazzo sui mercati della città la porta Saint Croix il quai verte, il quai du rosaire un canale di Bruges una donna trasporta il latte in grossi recipienti appesi ad un sostegno posto sulle spalle della venditrice ricamatrici al lavoro in un giardino l'antico Beghinaggio il lago dell'amore l'ingresso dell'antico beghinaggio, case e giardini le quai long il quai de l'Hotel Gruuthause, porte, antichi palazzi, un ponte l'hotel da diverse angolazioni",1925,Bruges la morta,1925-01-01,"Território, cidade e patrimônio",Arquivo audiovisual institucional
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,Archivio Luce,https://videocinecitta.bytewise.it/vod/archivioluce/MpegM300/M003605.mp4/playlist.m3u8,Celebrazione del VII anniversario della vittoria a Roma,"temi manifestazioni del regime fascista persone Mussolini, Benito Suardo, Giacomo Starace, Achille luoghi Vittoriano Palazzo Chigi a Roma Piazza Cavour Di Roma | italiana Produzione | Istituto Nazionale Luce Anno di produzione: 1925",Ficha pública do catálogo cinematográfico Archivio Luce. | código: M003605 | duração: 00:07:08 | cor: b/n | som: muto | língua: italiana | nacionalidade: italiana Produzione | produção: Istituto Nazionale Luce Anno di produzione: 1925 | mídia pública detectada: 2 arquivo(s),1925,Celebrazione del VII anniversario della vittoria a Roma,1925-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,Archivio Luce,https://videocinecitta.bytewise.it/vod/archivioluce/MpegM300/M022001.mp4/playlist.m3u8,Congresso eucaristico del 1925 Congresso eucaristico a Roma (1925.III),temi congressi eucaristici Chiesa cattolica 3 persone Pio XI luoghi Roma Colosseo | italiana Produzione | Istituto Nazionale Luce Anno di produzione: 1925,Ficha pública do catálogo cinematográfico Archivio Luce. | código: M022001 | duração: 00:07:01 | cor: b/n | som: muto | língua: italiana | nacionalidade: italiana Produzione | produção: Istituto Nazionale Luce Anno di produzione: 1925 | mídia pública detectada: 2 arquivo(s) | le immagini scorrono sulla gente accalcata in strada inizio della processione la folla accalcata saluta agitando fazzoletti fasi della processione inquadrature della folla i sacerdoti del rito greco e armeno sopraggiungono immagini della benedizione papale con l'eucarestia il corteo salmodiante si snoda tra viali e giardini l'adunata della folla al Colosseo immagini dell'assembramento all'interno del Colosseo,1925,Congresso eucaristico del 1925 Congresso eucaristico a Roma (1925.III),1925-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,Archivio Luce,https://videocinecitta.bytewise.it/vod/archivioluce/MpegM300/M014801.mp4/playlist.m3u8,Dal Grappa al mare - ricordi di guerra e scene dei campi di battaglia,"temi Associazione nazionale combattenti e reduci Commemorazioni della Grande Guerra La grande guerra (1914-1918) persone Adalberto di Savoia duca di Bergamo Rossi, Amilcare luoghi Bassano del Grappa Monte Grappa Montello Treviso fiume Piave San Donà di Piave Vittorio Veneto Udine Cividale del Friuli fiume Isonzo Gorizia Friuli Venezia Giulia Ossario di Redipuglia Trieste Montenero Fiume | italiana Produzione | Istituto Nazionale Luce Anno di produzione: 1925","Ficha pública do catálogo cinematográfico Archivio Luce. | código: M014801 | duração: 01:01:23 | cor: b/n | som: muto | língua: italiana | nacionalidade: italiana Produzione | produção: Istituto Nazionale Luce Anno di produzione: 1925 | mídia pública detectada: 2 arquivo(s) | Il percorso dal monte Grappa al Trieste da parte dei componenti dell'Associazione nazionale combattenti e reduci in occasione del decimo anno della dichiarazione di guerra della Prima Guerra Mondiale. | Bassano del Grappa una fila di automobili posteggiate ai lati di una grande piazza alcune persone si riuniscono dietro una bandiera: sono pluridecorati, ex combattenti, ufficiali dell'esercito e camicie nere tra gli ufficiali il generale Boriani, generale dell'esercito le auto si fermano facendo l'aspra salita sul monte Grappa, una strada porta alla cima immagini di repertorio: - i ricordi vanno a quando l'arrampicata veniva fatta con gli scarponi, le divise per il freddo invernale e i fucili - piccoli trenini carichi di soldati e mezzi percorrono stretti tunnel sotto la neve - veduta del panorama delle campagne circostanti Bassano del Grappa da un aeroplano - riprese dall'aeroplano di un altro aeroplano in volo - la veduta del monte circondato dalla nebbia e dalle nuvole il raduno degli ex combattenti sul monte Grappa avviene a dieci anni di distanza nella nebbia lastroni di ghiaccio s...",1925,Dal Grappa al mare - ricordi di guerra e scene dei campi di battaglia,1925-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,Archivio Luce,https://patrimonio.archivioluce.com/luce-web/detail/IL3000085276/1/-1627.html?startPage=20,Dimostrazione al duce in piazza Colonna dopo l'attentato al Campidoglio,italiana Produzione | Istituto Nazionale Luce,Ficha pública do catálogo cinematográfico Archivio Luce. | cor: b/n | som: muto edizione | nacionalidade: italiana Produzione | produção: Istituto Nazionale Luce | registro descritivo sem arquivo HLS/MP4 exposto na ficha,1925,Dimostrazione al duce in piazza Colonna dopo l'attentato al Campidoglio,1925-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,Archivio Luce,https://videocinecitta.bytewise.it/vod/archivioluce/MpegM300/M003028.mp4/playlist.m3u8,Fibre tessili dell'Abaca/ [Iso]la di Cebù (Filippine),temi industria manifatturiera etnografia ed etnologia Artigianato luoghi Isola di Cebù | Istituto Nazionale Luce,"Ficha pública do catálogo cinematográfico Archivio Luce. | código: M003028 Raccolta, lavorazione delle fibre di Abaca in una piantagione. La fabbricazione delle corde, la spedizione delle fibre. | duração: 00:06:21 | cor: b/n | som: muto | língua: italiana Produzione | produção: Istituto Nazionale Luce | mídia pública detectada: 2 arquivo(s) | Raccolta, lavorazione delle fibre di Abaca in una piantagione. La fabbricazione delle corde, la spedizione delle fibre. | un contadino con una falce abbatte piante di abaca il contadino seduto ritaglia strati di fibre dai gambi le fibre vengono fatte passare attraverso due lame ravvicinate, si ottengono fibre ritagliate in parti più piccole mucchi di fibre vengono messe ad essiccare su pali i contadini sbattono contro un palo le fibre, le legano in fasci e ammucchiano un lavoratore gira la manovella di un ingranaccio che intreccia le fibre trasformandole in corde altri lavoratori tendono le corde, le avvolgono successivamente su rocchetti lavoratori costruiscono corde più robuste con un sistema di telai e legni, azionati manualmente una mano tiene sospesi con una sottile cordicella dei blocchi di pesi le fibre in un magazzino vengono raccolte in balle per la spedizione, pesate ad una rudimentale bilancia le balle vengono chiuse in una cassa di legno le balle vengono caricate su una nave",1925,Fibre tessili dell'Abaca/ [Iso]la di Cebù (Filippine),1925-01-01,"Território, cidade e patrimônio",Arquivo audiovisual institucional
