priority,unit_code,unit_label,unit_type,territorial_scope,queue_status,queue_reason,evidence_status,protocol_status,next_step,blocks_expansion,rule_version
8,archives-hub,Archives Hub,agregador_candidato,agregador nacional,monitoramento_protocolado_sem_incorporacao_mvp,"O protocolo documentou relevância, mas também ausência de rota estável; a unidade permanece fora do corpus ativo no MVP.",exige_js_cookies_ou_superficie_bloqueada,prototipo_leve_indica_bloqueio_em_sru_ou_oaipmh,identificacao_de_api_exportacao_sitemap_ou_rota_publica_estavel,False,2026-05-fechamento-europa-v1
8,francearchives,FranceArchives,agregador_candidato,agregador nacional,monitoramento_protocolado_sem_incorporacao_mvp,"O protocolo documentou relevância, mas também ausência de rota estável; a unidade permanece fora do corpus ativo no MVP.",exige_js_cookies_ou_superficie_bloqueada,prototipo_leve_indica_dump_documentado_mas_download_a_validar,identificacao_de_api_exportacao_sitemap_ou_rota_publica_estavel,False,2026-05-fechamento-europa-v1
9,archipop,ARCHIPOP,corpus_ativo,instituição individual europeia,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_archipop_outputs.py,False,2026-05-fechamento-europa-v1
9,ape,Archives Portal Europe,corpus_ativo,agregador continental,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_ape_outputs.py,False,2026-05-fechamento-europa-v1
9,aamod,Archivio Audiovisivo del movimento operaio e democratico,corpus_ativo,instituição individual europeia,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_aamod_outputs.py,False,2026-05-fechamento-europa-v1
9,sfa,Arhiv Republike Slovenije - Slovenski filmski arhiv,corpus_ativo,instituição individual europeia,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_sfa_outputs.py,False,2026-05-fechamento-europa-v1
9,anf,Arhiva Nationala de Filme - Cinemateca Romana,corpus_ativo,instituição individual europeia,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_anf_outputs.py,False,2026-05-fechamento-europa-v1
9,aqshf,Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,corpus_ativo,instituição individual europeia,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_aqshf_outputs.py,False,2026-05-fechamento-europa-v1
9,euscreen,EUscreen,corpus_ativo,agregador audiovisual europeu,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_euscreen_outputs.py,False,2026-05-fechamento-europa-v1
9,european-film-gateway,European Film Gateway,corpus_ativo,agregador audiovisual europeu,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_european_film_gateway_outputs.py,False,2026-05-fechamento-europa-v1
9,europeana,Europeana,corpus_ativo,agregador cultural europeu,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_europeana_outputs.py,False,2026-05-fechamento-europa-v1
9,ina,Institut national de l'audiovisuel,corpus_ativo,instituição individual,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_ina_outputs.py,False,2026-05-fechamento-europa-v1
9,pares,PARES,corpus_ativo,agregador nacional europeu,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_pares_outputs.py,False,2026-05-fechamento-europa-v1
9,portal-portugues-arquivos,Portal Português de Arquivos,corpus_ativo,agregador nacional europeu,monitoramento_mensal,Corpus europeu já incorporado; precisa apenas permanecer no ciclo mensal.,saidas_do_corpus_materializadas_no_observatorio,pipeline_ativo,python scripts/check_ppa_outputs.py,False,2026-05-fechamento-europa-v1
