corpus_code,corpus,short_label,category_code,category_label,continent,public_records,restricted_records,materialized_records_total,public_records_percent,restricted_records_percent,has_public_records,has_restricted_records,denominator_note,rule_version
ape,Archives Portal Europe,APE,aggregator,Agregadores arquivísticos,Europe,412,0,412,100.0,0.0,True,False,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
euscreen,EUscreen,EUscreen,aggregator,Agregadores arquivísticos,Europe,133,0,133,100.0,0.0,True,False,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
european-film-gateway,European Film Gateway,EFG,aggregator,Agregadores arquivísticos,Nao classificado,0,0,0,0.0,0.0,False,False,Corpus sem registros audiovisuais materializados neste snapshot.,2026-06-indice-dados-publicos-v2
europeana,Europeana,Europeana,aggregator,Agregadores arquivísticos,Europe,20,0,20,100.0,0.0,True,False,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
pares,PARES,PARES,aggregator,Agregadores arquivísticos,Europe,75,0,75,100.0,0.0,True,False,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
portal-portugues-arquivos,Portal Português de Arquivos,PPA,aggregator,Agregadores arquivísticos,Europe,94,0,94,100.0,0.0,True,False,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
aapb,American Archive of Public Broadcasting,AAPB,aggregator,Agregadores arquivísticos,North America,28,0,28,100.0,0.0,True,False,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
ina,Institut national de l'audiovisuel,INA,institution,Arquivos e instituições arquivísticas,Europe,42,31,73,57.53,42.47,True,True,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
aamod,Archivio Audiovisivo del movimento operaio e democratico,AAMOD,institution,Arquivos e instituições arquivísticas,Europe,6,0,6,100.0,0.0,True,False,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
anf,Arhiva Nationala de Filme - Cinemateca Romana,ANF,institution,Arquivos e instituições arquivísticas,Europe,0,8,8,0.0,100.0,False,True,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
aqshf,Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,AQSHF,institution,Arquivos e instituições arquivísticas,Europe,2736,0,2736,100.0,0.0,True,False,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
archipop,ARCHIPOP,ARCHIPOP,institution,Arquivos e instituições arquivísticas,Europe,58,0,58,100.0,0.0,True,False,Percentual calculado sobre registros materializados do corpus.,2026-06-indice-dados-publicos-v2
