unit_code,unit_label,unit_type,source_family,country_or_scope,territorial_scope,source_url,audiovisual_relevance,coverage_hint,relationship_to_current_corpus,organism_status,queue_layer,queue_decision,queue_priority,definitive_queue_rank,queue_reason,next_action,inclusion_gate,video_location_status,video_location_candidate_url,video_location_strategy,blocks_expansion,evidence_reference,rule_version
euscreen-network-members,EUscreen Network - membros,diretorio_de_arquivos_audiovisuais,EUscreen,Europa,Europa,https://euscreen.eu/,"emissoras, arquivos de mídia e instituições audiovisuais",mais de 40 membros em quase 30 países europeus,fonte para gerar fila de arquivos individuais,fonte_de_expansao,fonte_de_fila,expandir_diretorio_para_fila_individual,1,,A fonte ajuda a identificar arquivos audiovisuais europeus que podem ser avaliados um por um.,extrair_membros_e_criar_fila_de_instituicoes_audiovisuais,não entra como corpus; gera candidatos individuais verificáveis,nao_aplicavel_diretorio,https://euscreen.eu/,"extrair membros e localizar, em cada instituição, catálogo, página de acervo, player ou API",False,EUscreen declara rede com mais de 40 membros de quase 30 países.,2026-05-pesquisa-europa-v3
efg-contributing-archives,European Film Gateway - contributing archives,diretorio_de_arquivos_filmicos,EFG,Europa,Europa,https://ftp.europeanfilmgateway.eu/about_efg/contributing_archives,arquivos fílmicos e coleções com registros de vídeo no European Film Gateway,lista pública de arquivos contribuintes do European Film Gateway,fonte para gerar fila de arquivos individuais,fonte_de_expansao,fonte_de_fila,expandir_diretorio_para_fila_individual,1,,A fonte ajuda a identificar arquivos audiovisuais europeus que podem ser avaliados um por um.,extrair_membros_e_criar_fila_de_instituicoes_audiovisuais,não entra como corpus; gera candidatos individuais verificáveis,nao_aplicavel_diretorio,https://ftp.europeanfilmgateway.eu/about_efg/contributing_archives,"extrair membros e localizar, em cada instituição, catálogo, página de acervo, player ou API",False,EFG mantém página pública de contributing archives com links de coleção.,2026-05-pesquisa-europa-v3
fiaf-europe-members,FIAF - membros europeus,diretorio_de_arquivos_filmicos,FIAF,Europa,Europa,https://www.fiafnet.org/pages/Community/Members.html,arquivos fílmicos e cinematecas,diretório internacional com múltiplos membros europeus,fonte para gerar fila de arquivos individuais,fonte_de_expansao,fonte_de_fila,expandir_diretorio_para_fila_individual,1,,A fonte ajuda a identificar arquivos audiovisuais europeus que podem ser avaliados um por um.,extrair_membros_e_criar_fila_de_instituicoes_audiovisuais,não entra como corpus; gera candidatos individuais verificáveis,nao_aplicavel_diretorio,https://www.fiafnet.org/pages/Community/Members.html,"extrair membros e localizar, em cada instituição, catálogo, página de acervo, player ou API",False,FIAF mantém diretório de arquivos de filme e cinematecas membros.,2026-05-pesquisa-europa-v3
fiat-ifta-members,FIAT/IFTA - membros,diretorio_de_arquivos_televisivos,FIAT/IFTA,Europa / mundo,Europa / mundo,https://fiatifta.org/membership/members/,"arquivos televisivos, multimídia e instituições de mídia com imagem em movimento",diretório internacional com múltiplos membros europeus relevantes ao audiovisual televisivo,fonte para gerar fila de arquivos individuais,fonte_de_expansao,fonte_de_fila,expandir_diretorio_para_fila_individual,1,,A fonte ajuda a identificar arquivos audiovisuais europeus que podem ser avaliados um por um.,extrair_membros_e_criar_fila_de_instituicoes_audiovisuais,não entra como corpus; gera candidatos individuais verificáveis,nao_aplicavel_diretorio,https://fiatifta.org/membership/members/,"extrair membros e localizar, em cada instituição, catálogo, página de acervo, player ou API",False,FIAT/IFTA lista serviços de arquivo de organizações de radiodifusão e arquivos de programas televisivos.,2026-05-pesquisa-europa-v3
inedits-members,INEDITS - Amateur Films / Memory of Europe,diretorio_de_arquivos_audiovisuais,INEDITS,Europa,Europa,https://inedits.eu/en/Members/,"arquivos de filmes amadores, familiares e memória audiovisual regional",rede europeia de membros institucionais e individuais ligados ao filme amador,fonte para gerar fila de arquivos individuais,fonte_de_expansao,fonte_de_fila,expandir_diretorio_para_fila_individual,1,,A fonte ajuda a identificar arquivos audiovisuais europeus que podem ser avaliados um por um.,extrair_membros_e_criar_fila_de_instituicoes_audiovisuais,não entra como corpus; gera candidatos individuais verificáveis,nao_aplicavel_diretorio,https://inedits.eu/en/Members/,"extrair membros e localizar, em cada instituição, catálogo, página de acervo, player ou API",False,INEDITS mantém página pública de membros com instituições de preservação audiovisual.,2026-05-pesquisa-europa-v3
fiaf-cineteca-bologna,Fondazione Cineteca di Bologna,arquivo_audiovisual_individual,FIAF,Itália,Itália,https://www.cinetecadibologna.it,"arquivo, cinemateca, emissora, instituição de mídia ou acervo audiovisual",instituição individual identificada em diretório europeu especializado: FIAF,candidato individual derivado de diretório especializado,candidato_individual,fila_definitiva_um_por_um,avaliar_arquivo_individual_um_por_um,2,,Instituição audiovisual europeia identificada em diretório especializado; deve ser avaliada individualmente antes de entrar como corpus.,sondar_site_catalogo_api_e_disponibilidade_audiovisual,"só incorporar após validar rota pública de vídeos, metadados audiovisuais ou catálogo coletável",a_localizar,https://www.cinetecadibologna.it,"testar URL oficial, busca por vídeo/filme/televisão, sitemap, catálogo, endpoint e páginas incorporadas",False,Lista oficial de membros da FIAF.,2026-05-pesquisa-europa-v3
inedits-home-movies,Fondazione Home Movies / Archivio Nazionale del film di Famiglia,arquivo_audiovisual_individual,INEDITS,Itália,Itália,https://homemovies.it/,"arquivo, cinemateca, emissora, instituição de mídia ou acervo audiovisual",instituição individual identificada em diretório europeu especializado: INEDITS,candidato individual derivado de diretório especializado,candidato_individual,fila_definitiva_um_por_um,avaliar_arquivo_individual_um_por_um,2,,Instituição audiovisual europeia identificada em diretório especializado; deve ser avaliada individualmente antes de entrar como corpus.,sondar_site_catalogo_api_e_disponibilidade_audiovisual,"só incorporar após validar rota pública de vídeos, metadados audiovisuais ou catálogo coletável",a_localizar,https://homemovies.it/,"testar URL oficial, busca por vídeo/filme/televisão, sitemap, catálogo, endpoint e páginas incorporadas",False,Página pública de membros da INEDITS - Amateur Films / Memory of Europe.,2026-05-pesquisa-europa-v3
inedits-forum-des-images,Forum des images,arquivo_audiovisual_individual,INEDITS,Paris / França,Paris / França,http://www.forumdesimages.fr/,"arquivo, cinemateca, emissora, instituição de mídia ou acervo audiovisual",instituição individual identificada em diretório europeu especializado: INEDITS,candidato individual derivado de diretório especializado,candidato_individual,fila_definitiva_um_por_um,avaliar_arquivo_individual_um_por_um,2,,Instituição audiovisual europeia identificada em diretório especializado; deve ser avaliada individualmente antes de entrar como corpus.,sondar_site_catalogo_api_e_disponibilidade_audiovisual,"só incorporar após validar rota pública de vídeos, metadados audiovisuais ou catálogo coletável",a_localizar,http://www.forumdesimages.fr/,"testar URL oficial, busca por vídeo/filme/televisão, sitemap, catálogo, endpoint e páginas incorporadas",False,Página pública de membros da INEDITS - Amateur Films / Memory of Europe.,2026-05-pesquisa-europa-v3
efg-friedrich-wilhelm-murnau-stiftung,Friedrich-Wilhelm-Murnau-Stiftung,arquivo_audiovisual_individual,EFG,Alemanha,Alemanha,https://www.murnau-stiftung.de,"arquivo, cinemateca, emissora, instituição de mídia ou acervo audiovisual",instituição individual identificada em diretório europeu especializado: EFG,candidato individual derivado de diretório especializado,candidato_individual,fila_definitiva_um_por_um,avaliar_arquivo_individual_um_por_um,2,,Instituição audiovisual europeia identificada em diretório especializado; deve ser avaliada individualmente antes de entrar como corpus.,sondar_site_catalogo_api_e_disponibilidade_audiovisual,"só incorporar após validar rota pública de vídeos, metadados audiovisuais ou catálogo coletável",a_localizar,https://www.murnau-stiftung.de,"testar URL oficial, busca por vídeo/filme/televisão, sitemap, catálogo, endpoint e páginas incorporadas",False,Página pública de contributing archives do European Film Gateway.,2026-05-pesquisa-europa-v3
fiaf-gosfilmofond,Gosfilmofond of Russia,arquivo_audiovisual_individual,FIAF,Rússia,Rússia,https://gosfilmofond.ru,"arquivo, cinemateca, emissora, instituição de mídia ou acervo audiovisual",instituição individual identificada em diretório europeu especializado: FIAF,candidato individual derivado de diretório especializado,candidato_individual,fila_definitiva_um_por_um,avaliar_arquivo_individual_um_por_um,2,,Instituição audiovisual europeia identificada em diretório especializado; deve ser avaliada individualmente antes de entrar como corpus.,sondar_site_catalogo_api_e_disponibilidade_audiovisual,"só incorporar após validar rota pública de vídeos, metadados audiovisuais ou catálogo coletável",a_localizar,https://gosfilmofond.ru,"testar URL oficial, busca por vídeo/filme/televisão, sitemap, catálogo, endpoint e páginas incorporadas",False,Lista oficial de membros da FIAF.,2026-05-pesquisa-europa-v3
fiaf-croatian-cinematheque,Hrvatski Državni Arhiv - Hrvatska Kinoteka / Croatian State Archive - Croatian Cinematheque,arquivo_audiovisual_individual,FIAF,Croácia,Croácia,https://www.arhiv.hr,"arquivo, cinemateca, emissora, instituição de mídia ou acervo audiovisual",instituição individual identificada em diretório europeu especializado: FIAF,candidato individual derivado de diretório especializado,candidato_individual,fila_definitiva_um_por_um,avaliar_arquivo_individual_um_por_um,2,,Instituição audiovisual europeia identificada em diretório especializado; deve ser avaliada individualmente antes de entrar como corpus.,sondar_site_catalogo_api_e_disponibilidade_audiovisual,"só incorporar após validar rota pública de vídeos, metadados audiovisuais ou catálogo coletável",a_localizar,https://www.arhiv.hr,"testar URL oficial, busca por vídeo/filme/televisão, sitemap, catálogo, endpoint e páginas incorporadas",False,Lista oficial de membros da FIAF.,2026-05-pesquisa-europa-v3
fiaf-ifi-irish-film-archive,IFI Irish Film Archive,arquivo_audiovisual_individual,FIAF,Irlanda,Irlanda,https://www.ifi.ie,"arquivo, cinemateca, emissora, instituição de mídia ou acervo audiovisual",instituição individual identificada em diretório europeu especializado: FIAF,candidato individual derivado de diretório especializado,candidato_individual,fila_definitiva_um_por_um,avaliar_arquivo_individual_um_por_um,2,,Instituição audiovisual europeia identificada em diretório especializado; deve ser avaliada individualmente antes de entrar como corpus.,sondar_site_catalogo_api_e_disponibilidade_audiovisual,"só incorporar após validar rota pública de vídeos, metadados audiovisuais ou catálogo coletável",a_localizar,https://www.ifi.ie,"testar URL oficial, busca por vídeo/filme/televisão, sitemap, catálogo, endpoint e páginas incorporadas",False,Lista oficial de membros da FIAF.,2026-05-pesquisa-europa-v3
inedits-image-est,Image'Est,arquivo_audiovisual_individual,INEDITS,Grand Est / França,Grand Est / França,http://www.image-est.fr/,"arquivo, cinemateca, emissora, instituição de mídia ou acervo audiovisual",instituição individual identificada em diretório europeu especializado: INEDITS,candidato individual derivado de diretório especializado,candidato_individual,fila_definitiva_um_por_um,avaliar_arquivo_individual_um_por_um,2,,Instituição audiovisual europeia identificada em diretório especializado; deve ser avaliada individualmente antes de entrar como corpus.,sondar_site_catalogo_api_e_disponibilidade_audiovisual,"só incorporar após validar rota pública de vídeos, metadados audiovisuais ou catálogo coletável",a_localizar,http://www.image-est.fr/,"testar URL oficial, busca por vídeo/filme/televisão, sitemap, catálogo, endpoint e páginas incorporadas",False,Página pública de membros da INEDITS - Amateur Films / Memory of Europe.,2026-05-pesquisa-europa-v3
