camada,categoria,decisao,total,rule_version
corpus_ativo,corpus_ativo,monitoramento_mensal,54,2026-05-pesquisa-europa-v3
fila_definitiva_um_por_um,arquivo_audiovisual_individual,avaliar_arquivo_individual_um_por_um,38,2026-05-pesquisa-europa-v3
fila_definitiva_um_por_um,instituicao_audiovisual_europeia,avaliar_arquivo_individual_um_por_um,10,2026-05-pesquisa-europa-v3
fila_definitiva_um_por_um,instituicao_televisiva_com_acervo_audiovisual,avaliar_arquivo_individual_um_por_um,25,2026-05-pesquisa-europa-v3
fonte_de_fila,diretorio_de_arquivos_audiovisuais,expandir_diretorio_para_fila_individual,2,2026-05-pesquisa-europa-v3
fonte_de_fila,diretorio_de_arquivos_filmicos,expandir_diretorio_para_fila_individual,2,2026-05-pesquisa-europa-v3
fonte_de_fila,diretorio_de_arquivos_televisivos,expandir_diretorio_para_fila_individual,1,2026-05-pesquisa-europa-v3
fonte_varrida_documentada,diretorio_de_arquivos_filmicos,coberta_por_rotas_publicas_substitutas,1,2026-05-pesquisa-europa-v3
fonte_varrida_documentada,diretorio_de_emissoras_publicas,monitorar_sem_promover_emissoras_genericas_a_corpus,1,2026-05-pesquisa-europa-v3
protocolo_de_coleta_pendente,instituicao_televisiva_com_acervo_audiovisual,aguardar_nova_janela_de_coleta_sem_waf,1,2026-05-pesquisa-europa-v3
protocolo_de_incorporacao_em_escala,instituicao_audiovisual_europeia,planejar_ingestao_incremental_antes_de_ativar,1,2026-05-pesquisa-europa-v3
protocolo_de_incorporacao_pendente,arquivo_audiovisual_individual,manter_protocolo_sem_incorporacao_ate_ingestao_total,1,2026-05-pesquisa-europa-v3
protocolo_de_nao_incorporacao,arquivo_audiovisual_individual,manter_protocolo_sem_incorporacao,2,2026-05-pesquisa-europa-v3
protocolo_de_negativa,agregador_nacional_geral,manter_protocolo_sem_incorporacao,2,2026-05-pesquisa-europa-v3
protocolo_de_negativa,arquivo_audiovisual_individual,manter_protocolo_sem_incorporacao,9,2026-05-pesquisa-europa-v3
protocolo_de_negativa,instituicao_televisiva_com_acervo_audiovisual,manter_protocolo_sem_incorporacao,1,2026-05-pesquisa-europa-v3
radar_contextual,agregador_tematico,monitorar_sem_pipeline_imediato,8,2026-05-pesquisa-europa-v3
radar_nacional_regional,agregador_nacional_regional,avaliar_agregador_nacional_ou_regional,30,2026-05-pesquisa-europa-v3
