unit_code,unit_label,continent,corpus_status,access_category,category_label,restricted_records,restricted_volume_status,requires_authorization_registration_or_payment,source_file,evidence,rule_version
cinematheque-suisse,Cinémathèque suisse,Europe,fora_do_corpus_ativo,metadados_publicos_midia_local_autorizada_sem_video_publico,"Metadados públicos com mídia local/autorizada, sem vídeo público incorporável",0,restrito_sem_catalogo_publico_quantificavel,True,observatorio_unidades_identificadas_nao_incorporadas.csv,"A rota Memobase retornou registros Film e metadados públicos do conjunto `csa-001`, mas os objetos digitais aparecem com acesso local/autorizado e uso sujeito a direitos. Não foi identificado vídeo público incorporável ao corpus ativo.",2026-06-indice-dados-publicos-v2
fiaf-cineteca-italiana,Fondazione Cineteca Italiana,Europe,fora_do_corpus_ativo,arquivo_filmico_com_streaming_protegido_sem_catalogo_publico_de_video,"Arquivo fílmico com streaming protegido, sem catálogo público de vídeo coletável",0,restrito_sem_catalogo_publico_quantificavel,True,observatorio_unidades_identificadas_nao_incorporadas.csv,"A página institucional confirma acervo fílmico de cerca de 40.000 títulos em película. A seção Film e o endpoint `film` funcionam como programação de sala. O endpoint `streaming` expõe registros protegidos, sem conteúdo público. A visita ao Arquivo Film é presencial. O feed YouTube é público, mas representa canal institucional recente, não catálogo público integral do acervo.",2026-06-indice-dados-publicos-v2
anf,Arhiva Nationala de Filme - Cinemateca Romana,Europe,corpus_ativo,streaming_pago_autenticado_em_corpus_ativo,Streaming pago/autenticado em corpus ativo,8,quantificado_em_corpus_ativo,True,anf_catalogo_videos_analitico.csv,"Registros com preço, compra/login ou acesso autenticado indicado na descrição.",2026-06-indice-dados-publicos-v2
dr,DR - Danmarks Radio,Europe,corpus_ativo,streaming_pago_autenticado_em_corpus_ativo,Streaming pago/autenticado em corpus ativo,453,quantificado_em_corpus_ativo,True,dr_catalogo_videos_analitico.csv,"Registros com preço, compra/login ou acesso autenticado indicado na descrição.",2026-06-indice-dados-publicos-v2
ecpad,ECPAD - Établissement de communication et de production audiovisuelle de la Défense,Europe,corpus_ativo,midia_local_autorizada_em_corpus_ativo,Mídia local/autorizada em corpus ativo,23305,quantificado_em_corpus_ativo,True,ecpad_catalogo_videos_analitico.csv,Registros com metadados públicos e mídia indicada como acesso onsite/autorizado.,2026-06-indice-dados-publicos-v2
estonian_film_archive,Film Archive of the National Archives of Estonia / Arkaader,Europe,corpus_ativo,streaming_pago_autenticado_em_corpus_ativo,Streaming pago/autenticado em corpus ativo,545,quantificado_em_corpus_ativo,True,efa_estonia_catalogo_videos_analitico.csv,"Registros com preço, compra/login ou acesso autenticado indicado na descrição.",2026-06-indice-dados-publicos-v2
filmmuseum_dusseldorf,Filmmuseum Düsseldorf / d:kult online,Europe,corpus_ativo,midia_local_autorizada_em_corpus_ativo,Mídia local/autorizada em corpus ativo,300,quantificado_em_corpus_ativo,True,filmmuseum_dusseldorf_catalogo_videos_analitico.csv,Registros com metadados públicos e mídia indicada como acesso onsite/autorizado.,2026-06-indice-dados-publicos-v2
filmoteca_catalunya,Filmoteca de Catalunya / PLATFO FILMO,Europe,corpus_ativo,streaming_pago_autenticado_em_corpus_ativo,Streaming pago/autenticado em corpus ativo,10,quantificado_em_corpus_ativo,True,filmoteca_catalunya_catalogo_videos_analitico.csv,"Registros com preço, compra/login ou acesso autenticado indicado na descrição.",2026-06-indice-dados-publicos-v2
filmoteca_espanola,Filmoteca Española / PLATFO FILMO,Europe,corpus_ativo,streaming_pago_autenticado_em_corpus_ativo,Streaming pago/autenticado em corpus ativo,344,quantificado_em_corpus_ativo,True,filmoteca_espanola_catalogo_videos_analitico.csv,"Registros com preço, compra/login ou acesso autenticado indicado na descrição.",2026-06-indice-dados-publicos-v2
ina,Institut national de l'audiovisuel,Europe,corpus_ativo,catalogo_comercial_de_licenciamento_em_corpus_ativo,Catálogo comercial de licenciamento em corpus ativo,31,quantificado_em_corpus_ativo,True,ina_catalogo_videos_analitico.csv,Registros classificados como Catálogo comercial de licenciamento.,2026-06-indice-dados-publicos-v2
