institution,slug,country,continent,repository_code,archive_type,pares_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
PARES,pares,Spain,Europe,ES-PARES,National archival aggregator,https://pares.cultura.gob.es/,True,True,PARES,PARES,https://pares.mcu.es/ParesBusquedas20/catalogo/description/1863944?nm,A solas con mi terror,film,registro descritivo recuperado; registro PARES 1863944,,A solas con mi terror,,Registro audiovisual em catálogo,Registro descritivo em agregador arquivístico nacional
PARES,pares,Spain,Europe,ES-PARES,National archival aggregator,https://pares.cultura.gob.es/,True,True,PARES,PARES,https://pares.mcu.es/ParesBusquedas20/catalogo/description/1902074?nm,Academia Aries. Número de Expediente: 25549,film,registro descritivo recuperado; registro PARES 1902074,,Academia Aries. Número de Expediente: 25549,,Registro audiovisual em catálogo,Registro descritivo em agregador arquivístico nacional
PARES,pares,Spain,Europe,ES-PARES,National archival aggregator,https://pares.cultura.gob.es/,True,True,PARES,PARES,https://pares.mcu.es/ParesBusquedas20/catalogo/description/1902797?nm,Adam Et Eve. Número de Expediente: 26277,film,registro descritivo recuperado; registro PARES 1902797,,Adam Et Eve. Número de Expediente: 26277,,Registro audiovisual em catálogo,Registro descritivo em agregador arquivístico nacional
PARES,pares,Spain,Europe,ES-PARES,National archival aggregator,https://pares.cultura.gob.es/,True,True,PARES,PARES,https://pares.mcu.es/ParesBusquedas20/catalogo/description/1903106?nm,Alcoa. Número de Expediente: 26731,film,registro descritivo recuperado; registro PARES 1903106,,Alcoa. Número de Expediente: 26731,,Registro audiovisual em catálogo,Registro descritivo em agregador arquivístico nacional
PARES,pares,Spain,Europe,ES-PARES,National archival aggregator,https://pares.cultura.gob.es/,True,True,PARES,PARES,https://pares.mcu.es/ParesBusquedas20/catalogo/description/12806908?nm,Alfonso Domingo,video,registro descritivo recuperado; registro PARES 12806908,,Alfonso Domingo,,Registro audiovisual em catálogo,Registro descritivo em agregador arquivístico nacional
PARES,pares,Spain,Europe,ES-PARES,National archival aggregator,https://pares.cultura.gob.es/,True,True,PARES,PARES,https://pares.mcu.es/ParesBusquedas20/catalogo/description/13545841?nm,Archivo audiovisual Carlos Melchor Pujolar,audiovisual,registro descritivo recuperado; registro PARES 13545841,,Archivo audiovisual Carlos Melchor Pujolar,,Acervo e patrimônio,Registro descritivo em agregador arquivístico nacional
PARES,pares,Spain,Europe,ES-PARES,National archival aggregator,https://pares.cultura.gob.es/,True,True,PARES,PARES,https://pares.mcu.es/ParesBusquedas20/catalogo/description/2122299?nm,Archivo audiovisual del Partido Carlista,audiovisual,registro descritivo recuperado; registro PARES 2122299,,Archivo audiovisual del Partido Carlista,,Acervo e patrimônio,Registro descritivo em agregador arquivístico nacional
PARES,pares,Spain,Europe,ES-PARES,National archival aggregator,https://pares.cultura.gob.es/,True,True,PARES,PARES,https://pares.mcu.es/ParesBusquedas20/catalogo/show/2122306?nm,Archivo audiovisual del Partido Carlista,audiovisual,objeto digital detectado; registro PARES 2122306,,Archivo audiovisual del Partido Carlista,,Digitalização e acesso,Objeto digital em agregador arquivístico nacional
PARES,pares,Spain,Europe,ES-PARES,National archival aggregator,https://pares.cultura.gob.es/,True,True,PARES,PARES,https://pares.mcu.es/ParesBusquedas20/catalogo/show/2122304?nm,Archivo audiovisual del Partido Carlista,audiovisual,objeto digital detectado; registro PARES 2122304,,Archivo audiovisual del Partido Carlista,,Digitalização e acesso,Objeto digital em agregador arquivístico nacional
PARES,pares,Spain,Europe,ES-PARES,National archival aggregator,https://pares.cultura.gob.es/,True,True,PARES,PARES,https://pares.mcu.es/ParesBusquedas20/catalogo/show/2122312?nm,Archivo audiovisual del Partido Carlista,audiovisual,objeto digital detectado; registro PARES 2122312,,Archivo audiovisual del Partido Carlista,,Digitalização e acesso,Objeto digital em agregador arquivístico nacional
