institution,slug,country,continent,repository_code,archive_type,ppa_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,Câmara Municipal de Cascais,Portal Português de Arquivos,https://portal.arquivos.pt/record?id=oai%3Ax-arq.cm-cascais.pt%3A58129&s='LaQKE',AUDIOVISUAL,audiovisual,registro descritivo com ligação à fonte original detectada; registro PPA oai:x-arq.cm-cascais.pt:58129; fonte agregada: Câmara Municipal de Cascais; registro original: https://arquivodigital.cascais.pt/xarqweb/Result.aspx?id=58129&type=PCD,1980-01-01/2000-01-01
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,Câmara Municipal de Vila Franca de Xira,Portal Português de Arquivos,https://portal.arquivos.pt/record?id=oai%3APT%2FMVFX-ARQ%3A303127&s='LaQKE',Arquivo Audiovisual da RTP,audiovisual,registro descritivo com ligação à fonte original detectada; registro PPA oai:PT/MVFX-ARQ:303127; fonte agregada: Câmara Municipal de Vila Franca de Xira; registro original: https://arquivo.cm-vfxira.pt/descriptions/303127,
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,Arquivo e Biblioteca da Madeira,Portal Português de Arquivos,https://portal.arquivos.pt/record?id=oai%3APT%2FABM%3A2732053&s='LaQKE',Material fotográfico e audiovisual,audiovisual,registro descritivo com ligação à fonte original detectada; registro PPA oai:PT/ABM:2732053; fonte agregada: Arquivo e Biblioteca da Madeira; registro original: https://arquivo-abm.madeira.gov.pt/descriptions/2732053,1895-01-01/2010-01-01
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,Arquivo e Biblioteca da Madeira,Portal Português de Arquivos,https://portal.arquivos.pt/record?id=oai%3APT%2FABM%3A2747047&s='LaQKE',Registo audiovisual : Sem identificação,audiovisual,registro descritivo com ligação à fonte original detectada; registro PPA oai:PT/ABM:2747047; fonte agregada: Arquivo e Biblioteca da Madeira; registro original: https://arquivo-abm.madeira.gov.pt/descriptions/2747047,
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,Arquivo e Biblioteca da Madeira,Portal Português de Arquivos,https://portal.arquivos.pt/record?id=oai%3APT%2FABM%3A2747044&s='LaQKE',Registo audiovisual : Orquestra,audiovisual,registro descritivo com ligação à fonte original detectada; registro PPA oai:PT/ABM:2747044; fonte agregada: Arquivo e Biblioteca da Madeira; registro original: https://arquivo-abm.madeira.gov.pt/descriptions/2747044,
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,Câmara Municipal de Leiria,Portal Português de Arquivos,https://portal.arquivos.pt/record?id=oai%3Adescription%3A585103&s='LaQKE',Seguro de material audiovisual,audiovisual,registro descritivo recuperado; registro PPA oai:description:585103; fonte agregada: Câmara Municipal de Leiria; descrição: ENT - Entrada de Correspondência Diversa CT/OF - Oficio Referência: 189,2000-05-05/2000-05-05
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,Câmara Municipal de Leiria,Portal Português de Arquivos,https://portal.arquivos.pt/record?id=oai%3Adescription%3A779601&s='LaQKE',Biblioteca - Sala de Audiovisual,audiovisual,registro descritivo recuperado; registro PPA oai:description:779601; fonte agregada: Câmara Municipal de Leiria; descrição: INT - Correspondência Interna REQ - Requerimento,2003-03-11/2003-03-11
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,Câmara Municipal de Leiria,Portal Português de Arquivos,https://portal.arquivos.pt/record?id=oai%3Adescription%3A1052752&s='LaQKE',Oferta de material audiovisual,audiovisual,registro descritivo recuperado; registro PPA oai:description:1052752; fonte agregada: Câmara Municipal de Leiria; descrição: SAI - Saída de correspondência CT/OF - Oficio,2006-07-06/2006-07-06
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,Centro de Estudos de História Religiosa. Universidade Católica Portuguesa,Portal Português de Arquivos,https://portal.arquivos.pt/record?id=oai%3Apapir.cehr.ft.ucp.pt%3A_136335&s='LaQKE',Audiovisual Marginación 1 a 104,audiovisual,registro descritivo com ligação à fonte original detectada; registro PPA oai:papir.cehr.ft.ucp.pt:_136335; fonte agregada: Centro de Estudos de História Religiosa. Universidade Católica Portuguesa; registro original: https://papir.cehr.ft.ucp.pt/index.php/audiovisual-marginacion-1-a-104,
Portal Português de Arquivos,portal-portugues-arquivos,Portugal,Europe,PT-PPA,National archival aggregator,https://portal.arquivos.pt/,True,True,Arquivo e Biblioteca da Madeira,Portal Português de Arquivos,https://portal.arquivos.pt/record?id=oai%3APT%2FABM%3A2745333&s='LaQKE',Registo audiovisual : Teatro e atividades,audiovisual,registro descritivo com ligação à fonte original detectada; registro PPA oai:PT/ABM:2745333; fonte agregada: Arquivo e Biblioteca da Madeira; registro original: https://arquivo-abm.madeira.gov.pt/descriptions/2745333,
