institution,slug,country,continent,repository_code,archive_type,sfa_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,ok,200,0,0,Página oficial eslovena que confirma o Slovenski filmski arhiv.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://www.gov.si/en/state-authorities/bodies-within-ministries/archives-of-the-republic-of-slovenia/about-the-archives/slovenian-film-archives/,ok,200,0,0,Página oficial em inglês que confirma o Slovenian Film Archives.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac,ok,200,0,0,Entrada pública da Virtualna arhivska čitalnica.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac/search/getfullTextPage,ok,200,0,0,Formulário público de busca do VAČ; a chamada AJAX não é usada no MVP.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac/search/details?id=25366,ok,200,0,0,"Ficha pública do fundo SI AS 1086 usada para validar a coleção de filmes; 32.504 filmskih kolutov, 182 LTO, 4.902 DVD, 806 BETA kaset, 1 VHS kaseta",
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac/search/details?id=388739,ok,200,1,0,Ficha pública de filme no VAČ; metadados coletados sem pressupor player.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac/search/details?id=389406,ok,200,1,0,Ficha pública de filme no VAČ; metadados coletados sem pressupor player.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac/search/details?id=388738,ok,200,1,0,Ficha pública de filme no VAČ; metadados coletados sem pressupor player.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac/search/details?id=388740,ok,200,1,0,Ficha pública de filme no VAČ; metadados coletados sem pressupor player.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac/search/details?id=389405,ok,200,1,0,Ficha pública de filme no VAČ; metadados coletados sem pressupor player.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac/search/details?id=389407,ok,200,1,0,Ficha pública de filme no VAČ; metadados coletados sem pressupor player.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac/search/details?id=388737,ok,200,1,0,Ficha pública de filme no VAČ; metadados coletados sem pressupor player.,
Arhiv Republike Slovenije - Slovenski filmski arhiv,arhiv-republike-slovenije-slovenski-filmski-arhiv,Slovenia,Europe,SI-AS-1086,Institutional film archive,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/o-arhivu/slovenski-filmski-arhiv/,True,True,https://vac.sjas.gov.si/vac/search/details?id=25366,https://vac.sjas.gov.si/vac/search/details?id=388741,ok,200,1,0,Ficha pública de filme no VAČ; metadados coletados sem pressupor player.,
